Valuation,Industry,Country,Year Founded,Funding,ROI
2000,4,44,2000,545,1455
2000,12,9,2014,614,1386
2000,10,38,2014,569,1431
2000,14,6,2013,507,1493
2000,11,44,2011,315,1685
2000,8,13,2015,448,1552
2000,15,9,2010,503,1497
2000,9,44,2010,3000,-1000
2000,6,44,2018,527,1473
2000,8,44,2018,183,1817
2000,11,44,2011,192,1808
2000,8,32,2015,475,1525
2000,5,44,2007,408,1592
2000,11,44,2014,202,1798
2000,13,26,2012,285,1715
2000,8,30,2018,570,1430
2000,8,44,2019,566,1434
2000,1,24,2014,147,1853
2000,11,44,2009,226,1774
2000,5,44,2011,356,1644
2000,12,24,2012,410,1590
2000,10,44,2016,296,1704
2000,4,22,2018,161,1839
2000,10,44,2015,296,1704
2000,15,17,2018,587,1413
2000,3,18,1999,200,1800
2000,8,44,2017,365,1635
2000,1,44,2016,432,1568
2000,10,44,2015,373,1627
2000,11,9,2007,768,1232
2000,6,9,2015,950,1050
2000,1,9,2014,786,1214
2000,8,43,2018,339,1661
1000,14,9,2013,188,812
1000,10,44,2013,94,906
1000,10,36,2000,62,938
1000,5,44,2009,206,794
1000,12,35,2000,547,453
1000,9,9,2010,523,477
1000,8,19,2017,227,773
1000,1,9,2014,79,921
1000,10,9,2016,214,786
1000,2,38,2016,151,849
1000,10,44,2020,700,300
1000,6,44,2015,231,769
1000,2,44,2016,2000,-1000
1000,11,44,2010,211,789
1000,1,44,2015,310,690
1000,6,9,2009,139,861
1000,8,9,2015,227,773
1000,7,9,2001,223,777
1000,8,9,2016,249,751
1000,7,9,1998,315,685
1000,8,9,2013,131,869
1000,14,9,2011,281,719
1000,11,44,2012,143,857
1000,14,9,2010,229,771
1000,14,9,2014,650,350
1000,13,10,2011,344,656
1000,12,9,2013,52,948
1000,8,19,2009,249,751
1000,10,44,2010,394,606
1000,13,16,1999,1000,0
1000,11,44,2011,163,837
1000,7,9,2017,268,732
1000,11,9,2011,164,836
1000,2,44,2007,329,671
1000,0,9,2017,211,789
1000,10,9,2015,43,957
1000,6,19,2008,2000,-1000
1000,8,43,2011,1000,0
1000,12,9,2013,310,690
1000,0,9,2016,171,829
1000,14,9,2016,154,846
1000,10,9,2015,188,812
1000,1,44,2011,352,648
1000,4,44,2000,174,826
1000,12,9,2009,369,631
1000,8,9,2016,230,770
1000,11,9,2013,307,693
1000,11,9,2015,149,851
1000,14,9,2005,800,200
1000,14,9,2015,554,446
1000,6,9,2017,658,342
1000,13,16,2011,393,607
1000,2,9,2016,2000,-1000
1000,6,9,2015,947,53
1000,2,9,2016,394,606
1000,3,44,2011,440,560
1000,8,44,2014,660,340
1000,8,44,2015,160,840
1000,11,9,2002,388,612
1000,8,22,2001,98,902
1000,11,9,2011,235,765
1000,4,44,2019,632,368
1000,12,9,2014,116,884
1000,8,44,2018,910,90
1000,10,19,2016,665,335
1000,5,9,2015,267,733
1000,6,44,2017,294,706
1000,6,9,2008,96,904
1000,10,44,2016,271,729
1000,6,9,2009,650,350
1000,8,16,2015,314,686
1000,8,44,2018,236,764
1000,15,9,2012,572,428
1000,3,9,2014,511,489
1000,14,9,2015,207,793
1000,2,9,2016,362,638
1000,4,44,2019,228,772
1000,9,9,2006,218,782
1000,6,43,2012,262,738
1000,8,44,2015,323,677
1000,11,9,2015,432,568
1000,10,44,2014,183,817
1000,12,44,2015,303,697
1000,6,44,2015,181,819
1000,2,37,2011,407,593
1000,10,44,2015,328,672
1000,11,44,2014,240,760
1000,11,16,2007,532,468
1000,7,44,2012,318,682
1000,8,4,2018,237,763
1000,11,44,2013,170,830
1000,11,38,2009,509,491
1000,11,7,2018,165,835
1000,5,22,2019,264,736
1000,13,19,1984,456,544
1000,11,44,2011,384,616
1000,11,44,2007,169,831
1000,6,9,2010,368,632
1000,4,44,2018,141,859
1000,10,44,2016,241,759
1000,10,19,2018,177,823
1000,6,19,2011,521,479
1000,4,44,2016,271,729
1000,8,17,2014,314,686
1000,1,44,2013,286,714
1000,8,44,2015,426,574
1000,8,44,2014,511,489
1000,12,43,2017,202,798
1000,11,44,2014,382,618
1000,12,9,2021,151,849
1000,11,44,2011,436,564
1000,8,6,2016,720,280
1000,8,44,2015,156,844
1000,13,44,2018,287,713
1000,15,18,2014,722,278
1000,10,9,2015,496,504
1000,8,44,2011,390,610
1000,6,43,2017,276,724
1000,6,36,2008,178,822
1000,10,44,2010,115,885
1000,13,36,2003,67,933
1000,6,44,2016,475,525
1000,4,9,2013,252,748
1000,1,9,2012,361,639
1000,8,44,2010,335,665
1000,13,44,2010,738,262
1000,8,44,2017,102,898
1000,11,44,2012,130,870
1000,14,44,2015,399,601
1000,10,22,1999,633,367
1000,11,44,2020,215,785
1000,8,44,2018,128,872
1000,8,28,2013,378,622
1000,11,1,2016,166,834
1000,14,44,2014,336,664
1000,8,44,2014,201,799
1000,13,9,2015,10,990
1000,13,44,2015,610,390
1000,15,37,2015,408,592
1000,5,44,2016,291,709
1000,11,44,2011,241,759
1000,13,43,2009,324,676
1000,4,44,2015,246,754
1000,8,44,2014,165,835
1000,11,21,2015,157,843
1000,11,44,2014,325,675
1000,4,44,2015,257,743
1000,11,9,2014,594,406
1000,8,43,2017,116,884
1000,11,44,2018,260,740
1000,14,44,2018,482,518
1000,11,44,2016,148,852
1000,13,7,2020,45,955
1000,12,9,2016,14,986
1000,11,41,2012,167,833
1000,13,24,2007,520,480
1000,1,7,2016,191,809
1000,8,44,2018,111,889
1000,11,44,2012,192,808
1000,1,44,2012,317,683
1000,6,19,2008,448,552
1000,5,44,2013,271,729
1000,8,44,2016,189,811
1000,8,44,2013,230,770
1000,11,44,2017,148,852
1000,6,44,2013,382,618
1000,11,44,2013,365,635
1000,13,44,2016,337,663
1000,6,44,2021,430,570
1000,6,19,2015,427,573
1000,6,28,2020,345,655
1000,11,44,2012,281,719
1000,6,19,2015,310,690
1000,6,31,2013,337,663
1000,11,44,2018,124,876
1000,8,44,2021,118,882
1000,8,44,2016,161,839
1000,10,44,2019,315,685
1000,8,44,2008,309,691
1000,5,44,2012,347,653
1000,14,12,2019,380,620
1000,11,44,2017,189,811
1000,0,9,2019,300,700
1000,11,44,2008,264,736
1000,7,19,2015,194,806
1000,11,21,1999,9,991
1000,14,19,2012,573,427
1000,3,36,2009,33,967
1000,1,9,2014,787,213
1000,7,9,2012,144,856
1000,11,44,2017,197,803
1000,10,44,2017,167,833
1000,2,9,2011,875,125
1000,5,44,2010,236,764
1000,10,44,2019,323,677
1000,8,44,2015,339,661
1000,8,44,2009,192,808
1000,1,44,2019,150,850
1000,14,44,2015,205,795
1000,8,44,2016,292,708
1000,8,9,2014,396,604
1000,8,19,2016,458,542
1000,11,19,2019,193,807
1000,4,44,2019,205,795
1000,6,34,2012,288,712
1000,13,44,2019,140,860
1000,8,19,2017,109,891
1000,6,44,2014,120,880
1000,11,17,2017,304,696
1000,4,7,2001,186,814
1000,13,44,2014,172,828
1000,8,44,2013,404,596
1000,11,44,2012,258,742
1000,9,9,2013,325,675
1000,15,17,2009,656,344
1000,6,19,2021,185,815
1000,8,44,2000,134,866
1000,6,9,2012,136,864
1000,11,44,2014,169,831
1000,7,19,2012,166,834
1000,5,39,2004,346,654
1000,11,44,2017,200,800
1000,6,44,2010,433,567
1000,10,44,2017,130,870
1000,14,17,2015,340,660
1000,5,44,2004,274,726
1000,11,17,2014,307,693
1000,8,44,2016,210,790
1000,12,44,2009,361,639
1000,8,43,2018,90,910
1000,8,43,2016,202,798
1000,11,9,2015,53,947
1000,6,19,2016,111,889
1000,8,43,1990,200,800
1000,14,19,2014,247,753
1000,13,44,2008,223,777
1000,2,36,2012,408,592
1000,8,44,2018,107,893
1000,9,44,2014,217,783
1000,5,44,2015,132,868
1000,6,9,2009,250,750
1000,8,34,2019,100,900
1000,11,44,2009,277,723
1000,12,44,2013,221,779
1000,1,22,2010,86,914
1000,2,9,2015,1000,0
1000,9,9,2014,86,914
1000,11,9,2014,300,700
1000,9,17,2018,240,760
1000,1,9,2017,273,727
1000,11,44,2014,226,774
1000,8,20,2018,245,755
1000,10,44,2015,524,476
1000,11,19,2008,240,760
1000,8,44,2019,243,757
1000,1,44,2016,187,813
1000,0,44,2019,160,840
1000,11,44,2021,200,800
1000,4,22,2015,265,735
1000,14,7,2010,534,466
1000,1,44,2011,294,706
1000,11,7,2020,64,936
